PCC,SEPCC,quadratic,Zscore,NPL,profitability,profit_volat,capitalization,dummies,DtoD,Lerner,Hstatistic,Concentration,HHI,Boone,developed,undeveloped,GMM,SLS,Logit,FE,RE,OLS,T,endogeneity,macro,someAveraged,sampleyear,IFrecursive,citations,reviewed_journal,regulation,global,ownership,firstpub,lnobs
-0.05822503,0.01687682,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.0794415,1,0,0,9,0.134,2.5758784,1,1,1,1,5,8.1602325
-0.05800706,0.01807074,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.9459101,1,0,0,9.5,0.134,2.5758784,1,1,1,1,5,8.0235524
-0.04269229,0.01808471,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.9459101,1,0,0,9.5,0.134,2.5758784,1,1,1,1,5,8.0235524
-0.0519985,0.01688263,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.0794415,1,0,0,9,0.134,2.5758784,1,1,1,1,5,8.1602325
-0.05422376,0.01807459,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.9459101,1,0,0,9.5,0.134,2.5758784,1,1,1,1,5,8.0235524
-0.05879675,0.02202126,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.7917595,1,0,0,10,0.134,2.5758784,1,1,1,1,5,7.6280311
-0.0600495,0.0240198,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.6094379,1,0,0,10.5,0.134,2.5758784,1,1,1,1,5,7.4541411
-0.04947525,0.02403376,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.6094379,1,0,0,10.5,0.134,2.5758784,1,1,1,1,5,7.4541411
-0.05945507,0.0220204,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.7917595,1,0,0,10,0.134,2.5758784,1,1,1,1,5,7.6280311
-0.05909209,0.02402118,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.6094379,1,0,0,10.5,0.134,2.5758784,1,1,1,1,5,7.4541411
0.06923657,0.00893533,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.4849066,1,0,0,11,0.596,1.7917595,1,0,0,0,11,9.43068
0.0503214,0.00961878,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.4849066,1,0,0,11,0.596,1.7917595,1,0,1,0,11,9.2855406
0.04917293,0.00961933,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.4849066,1,0,0,11,0.596,1.7917595,1,0,1,0,11,9.2855406
0.02233449,0.00957192,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.4849066,1,0,0,11,0.596,1.7917595,1,0,1,0,11,9.2973434
0.02482909,0.00956917,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.4849066,1,0,0,11,0.596,1.7917595,1,0,1,0,11,9.2978016
-0.08421953,0.01112811,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.0794415,1,0,0,13,0.596,1.7917595,1,0,1,0,11,8.9894443
0.02191912,0.00917752,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2.4849066,1,0,0,11,0.596,1.7917595,1,0,1,0,11,9.3815167
0.05917793,0.00905852,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2.4849066,1,0,0,11,0.596,1.7917595,1,0,1,0,11,9.4045905
-0.00651758,0.00916371,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2.4849066,1,0,0,11,0.596,1.7917595,1,0,1,0,11,9.3849657
0.00292581,0.00911501,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.4849066,1,0,0,11,0.596,1.7917595,1,1,1,0,11,9.3956574
0.0531622,0.00936494,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.4849066,1,0,0,11,0.596,1.7917595,1,1,1,0,11,9.3387336
0.01700047,0.00913577,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.4849066,1,0,0,11,0.596,1.7917595,1,0,1,0,11,9.3908269
0.03124515,0.0096894,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.4849066,1,0,0,11,0.596,1.7917595,1,1,1,0,11,9.2724697
0.00074082,0.00969413,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.4849066,1,0,0,11,0.596,1.7917595,1,1,1,0,11,9.2724697
-0.0008652,0.00969413,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.4849066,1,0,0,11,0.596,1.7917595,1,1,1,0,11,9.2724697
0.05335178,0.00968032,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.4849066,1,0,0,11,0.596,1.7917595,1,1,1,0,11,9.2724697
-0.06193448,0.01799292,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.4849066,1,0,0,11,0.596,1.7917595,1,1,1,0,11,8.0317104
-0.02163825,0.01553998,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.4849066,1,0,0,11,0.596,1.7917595,1,1,1,0,11,8.3282095
0.01870503,0.01027802,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.4849066,1,0,0,11,0.596,1.7917595,1,1,1,0,11,9.1551447
0.05098194,0.00961846,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.4849066,1,0,0,11,0.596,1.7917595,1,0,1,0,11,9.2855406
0.02520995,0.00962792,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.4849066,1,0,0,11,0.596,1.7917595,1,0,1,0,11,9.2855406
0.03152647,0.00962619,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2.4849066,1,0,0,11,0.596,1.7917595,1,0,1,0,11,9.2855406
0.03313269,0.01014266,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2.4849066,1,0,0,11,0.596,1.7917595,1,0,1,0,11,9.1809116
0.03579223,0.01423017,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.4849066,1,0,0,11,0.596,1.7917595,1,0,1,0,11,8.5034999
0.04507346,0.01066254,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.0794415,1,0,0,13,0.596,1.7917595,1,0,1,0,11,9.0800039
0.05646726,0.00999905,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.4849066,1,0,0,11,0.596,1.7917595,1,0,1,0,11,9.2073359
0.04618328,0.00928327,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.5649494,1,0,0,11.5,0.596,1.7917595,1,0,1,0,11,9.3569484
0.02533179,0.06187858,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.1972246,0,0,0,12.5,0.005,0.87546874,1,0,1,0,7,5.5645204
-0.00447147,0.06189783,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2.1972246,0,0,0,12.5,0.005,0.87546874,1,0,1,1,7,5.5645204
-0.08254839,0.06585633,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2.1972246,1,0,0,12.5,0.005,0.87546874,1,0,1,1,7,5.433722
-0.08431703,0.07028339,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2.0794415,1,0,0,13,0.005,0.87546874,1,0,1,0,7,5.3033049
-0.03057813,0.07050158,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2.0794415,1,0,0,13,0.005,0.87546874,1,0,1,0,7,5.3033049
0.07477882,0.06137343,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2.1972246,0,0,0,12.5,0.005,0.87546874,1,0,1,0,7,5.5759491
0.08981293,0.06129702,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2.1972246,0,0,0,12.5,0.005,0.87546874,1,0,1,1,7,5.5759491
0.14985023,0.06463391,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2.1972246,1,0,0,12.5,0.005,0.87546874,1,0,1,1,7,5.4553211
0.07541073,0.06964416,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2.0794415,1,0,0,13,0.005,0.87546874,1,0,1,0,7,5.32301
0.14289861,0.06912625,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2.0794415,1,0,0,13,0.005,0.87546874,1,0,1,0,7,5.32301
0.10137231,0.06146195,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.1972246,0,0,0,12.5,0.005,0.87546874,1,0,1,0,7,5.5683445
0.1693445,0.06088791,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2.1972246,0,0,0,12.5,0.005,0.87546874,1,0,1,1,7,5.5683445
0.14562993,0.06537737,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2.1972246,1,0,0,12.5,0.005,0.87546874,1,0,1,1,7,5.433722
0.07838968,0.07031751,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2.0794415,1,0,0,13,0.005,0.87546874,1,0,1,0,7,5.3033049
0.1602886,0.06962256,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2.0794415,1,0,0,13,0.005,0.87546874,1,0,1,0,7,5.3033049
-0.1444048,0.06033202,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2.1972246,0,0,0,12.5,0.005,0.87546874,1,0,1,0,7,5.5947114
-0.13897819,0.06037938,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2.1972246,0,0,0,12.5,0.005,0.87546874,1,0,1,1,7,5.5947114
-0.08322025,0.06446024,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2.1972246,1,0,0,12.5,0.005,0.87546874,1,0,1,1,7,5.4764636
-0.22706943,0.06720401,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2.0794415,1,0,0,13,0.005,0.87546874,1,0,1,0,7,5.3471075
-0.1710244,0.06798987,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2.0794415,1,0,0,13,0.005,0.87546874,1,0,1,0,7,5.3471075
-0.06505308,0.00351006,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.6390573,1,0,0,10,0.596,2.9957323,1,0,0,0,8,11.300004
-0.0252759,0.00351639,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.6390573,1,0,0,10,0.596,2.9957323,1,0,0,0,8,11.300004
-0.05368186,0.00351244,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.6390573,1,0,0,10,0.596,2.9957323,1,0,0,0,8,11.300004
-0.0662121,0.00409115,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.4849066,1,0,0,11,0.596,2.9957323,1,0,0,0,8,10.993463
-0.07582046,0.00360293,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.6390573,1,0,0,10,0.596,2.9957323,1,0,0,0,8,11.246248
-0.06399051,0.0035103,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.6390573,1,0,0,10,0.596,2.9957323,1,0,0,0,8,11.300004
-0.06402258,0.00351029,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.6390573,1,0,0,10,0.596,2.9957323,1,0,0,0,8,11.300004
-0.05870928,0.00351144,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.6390573,1,0,0,10,0.596,2.9957323,1,0,0,0,8,11.300004
-0.05690879,0.0035439,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.6390573,1,0,0,10,0.596,2.9957323,1,1,0,0,8,11.281813
-0.04831624,0.00352522,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.6390573,1,0,0,10,0.596,2.9957323,1,1,0,0,8,11.293288
-0.06758766,0.00358313,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.6390573,1,0,0,10,0.596,2.9957323,1,1,0,0,8,11.258459
-0.05913983,0.00351255,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.6390573,1,0,0,10,0.596,2.9957323,1,1,0,0,8,11.299324
-0.05406225,0.00358859,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.6390573,1,0,0,10,0.596,2.9957323,1,1,0,0,8,11.257065
-0.06459717,0.00358504,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.6390573,1,0,0,10,0.596,2.9957323,1,1,0,0,8,11.257788
-0.08286006,0.00359213,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.6390573,1,0,0,10,0.596,2.9957323,1,1,0,0,8,11.251132
-0.0718288,0.00350844,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.6390573,1,0,0,10,0.596,2.9957323,1,0,0,0,8,11.299992
-0.05077981,0.00354407,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.6390573,1,0,0,10,0.596,2.9957323,1,0,0,0,8,11.28238
-0.04163718,0.00364024,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.6390573,1,0,0,10,0.596,2.9957323,1,1,0,0,8,11.229674
-0.00690495,0.00364332,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.6390573,1,0,0,10,0.596,2.9957323,1,1,0,0,8,11.229674
-0.06535655,0.03173016,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.239,4.1640779,1,0,1,0,2,6.8966943
-0.08362552,0.02953962,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.239,4.1640779,1,0,1,0,2,7.0370276
-0.09000564,0.02947139,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.239,4.1640779,1,0,1,0,2,7.0405364
-0.05474855,0.03189592,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.239,4.1640779,1,0,1,0,2,6.8875526
-0.06790212,0.03172476,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.239,4.1640779,1,0,1,0,2,6.8966943
-0.06581332,0.03172921,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.239,4.1640779,1,0,1,0,2,6.8966943
-0.05237052,0.03175451,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.239,4.1640779,1,0,1,0,2,6.8966943
-0.06949111,0.03172128,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.239,4.1640779,1,0,1,0,2,6.8966943
-0.17732411,0.05989361,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.239,4.1640779,1,0,1,0,2,5.598422
-0.06116146,0.03466641,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.239,4.1640779,1,0,1,0,2,6.7202202
-0.06002822,0.03175687,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.239,4.1640779,1,0,1,0,2,6.8956827
-0.07866137,0.04128744,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.239,4.1640779,1,1,1,0,2,6.3681872
-0.0662516,0.03602858,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.239,4.1640779,1,1,1,0,2,6.6424868
-0.08333333,0.04166667,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.239,4.1640779,1,1,1,0,2,6.349139
-0.07823345,0.03628218,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.239,4.1640779,1,1,1,0,2,6.6267177
-0.07245746,0.03227418,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.239,4.1640779,1,1,1,0,2,6.8617113
-0.07060164,0.03227849,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.239,4.1640779,1,1,1,0,2,6.8617113
-0.06827828,0.03172394,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.239,4.1640779,1,1,1,0,2,6.8966943
-0.07309954,0.03227267,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.239,4.1640779,1,1,1,0,2,6.8617113
-0.09081092,0.03166676,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.239,4.1640779,1,0,1,0,2,6.8966943
-0.0685591,0.03172333,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.239,4.1640779,1,0,1,0,2,6.8966943
-0.10065055,0.03163667,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.239,4.1640779,1,0,1,0,2,6.8966943
-0.06855079,0.03196669,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.239,4.1640779,1,0,1,0,2,6.8814113
-0.10940255,0.03184974,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.239,4.1640779,1,0,1,0,2,6.8814113
-0.0774072,0.03170274,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.744,2.4510051,0,0,1,0,2,6.8966943
-0.10478751,0.02940285,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.744,2.4510051,0,0,1,0,2,7.0422862
-0.0669755,0.02949923,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.744,2.4510051,0,0,1,0,2,7.0422862
-0.12823523,0.04897873,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.744,2.4510051,0,0,1,0,2,6.0161572
-0.06335029,0.03173428,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.744,2.4510051,0,0,1,0,2,6.8966943
-0.0734119,0.03171235,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.744,2.4510051,0,0,1,0,2,6.8966943
-0.08228266,0.03169032,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.744,2.4510051,0,0,1,0,2,6.8966943
-0.06804982,0.04131976,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.744,2.4510051,0,1,1,0,2,6.3681872
-0.08752918,0.03596932,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.744,2.4510051,0,1,1,0,2,6.6424868
-0.0839094,0.03598057,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.744,2.4510051,0,1,1,0,2,6.6424868
-0.10367563,0.04158678,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.744,2.4510051,0,1,1,0,2,6.349139
-0.08381473,0.03626567,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.744,2.4510051,0,1,1,0,2,6.6267177
-0.09738257,0.03799871,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.744,2.4510051,0,0,1,1,2,6.5308776
-0.09402084,0.04034254,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.744,2.4510051,0,0,1,1,2,6.4118183
-0.07816901,0.03226022,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.744,2.4510051,0,1,1,0,2,6.8617113
-0.07696918,0.03226325,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.744,2.4510051,0,1,1,0,2,6.8617113
